content,label
thấm hút tốt rất khô_ráo,5.0
hàng chính hãng nhé đúng có hương tràm trà mình săn được sálẽ nên gìá tốt chưá đến 3k4 1 mìếng,5.0
cực_kì hàì lòng,5.0
cực_kì hàì lòng,5.0
cực_kì hàì lòng,5.0
cực_kì hàì lòng,5.0
cực_kì hàì lòng,5.0
cực_kì hàì lòng,5.0
cực_kì hàì lòng,5.0
cực_kì hàì lòng,5.0
cực_kì hàì lòng,5.0
cực_kì hàì lòng,5.0
ok,5.0
cực_kì hàì lòng,5.0
cực_kì hàì lòng,5.0
cực_kì hàì lòng,5.0
bên trong chìá 2 bịch nhỏ nên hơì lo về chất_lượng để dùng xẽm sáo,4.0
tạm ổn,4.0
hàì lòng,1.0
hàì lòng,1.0
