content,labels
"1. Về sản phẩm: Chất lượng của Bobby thì không cần bàn cãi nữa rồi. Rất tốt. 
2. Về dịch vụ vận chuyển: 10 điểm cho Tiki nhé. Đặt hàng siêu sales 11/11 mà chưa đầy 24h đã nhận được hàng. 
Các em giao hàng cực kỳ dễ thương, nhã nhặn và lịch sự. 
3. Phí vận chuyển luôn rẻ hơn Shopee. Chỉ khi nào bên Tiki ko có mã hàng đó mình mới mua bên *** thôi.",5
"mua 6 gói mà giao có 5 gói, thất vọng khi mua kiti làm ăn thất đức quá mong kiti kiểm tra lại kĩ càng trước khi giao. lần đầu tiên thấy thất vọng quá. đáng 1 sao mà không được chọn 1 sao. đành vào app kiti đánh giá 1 sao vậy. lần sau chừa ko dám mua khăn giấy ở đây nữa. Mọi người cẩn thận bị như em nhé. thất vọng toàn tập",5
"Sản phẩm giống mô tả, đóng gói cẩn thận, nhân viên giao hàng nhanh nhiệt tình, lần sau mình tiếp tục ủng hộ tiki",5
"Ko mùi, giá tốt, giao hàng nhanh. Các bạn hay mua hàng online hãy dùng ứng dụng cashbag để dc hoàn % tiền. Tải app cashbag hoặc cashbag.vn/5QEDDH8. Nhập mã người giới thiệu (5QEDDH8) để bạn và mình đều nhận dc quà nhé",5
"Tikinow sáng đặt chiều có rồi, dù trời mưa lớn nhưng gói hàng nguyên vẹn, date mới sản xuất. Giá rẻ hơn giá ghi trên bao bì, đáng mua nha mọi người",5
"Đầu tiên là thấy đóng gói rất cẩn thận, hàng hoá mở ra thấy ok về bên ngoài, còn chất lượng thì để xài xem ntn, bạn shippe của tiki cg rất nhiệt tình, nhà mình có ng lớn tuổi nên khi lấy hàng hơi mất thời gian nhưng bạn ship cg rất vui vẻ. Cảm ơn tiki",5
"Mình săn sale 163k/ 6 bịch.
Mua hoá đơn 600k dc tặng gấu bông. Date thì bao xa, nên cứ mua thoải mái. Bé dùng nhiều lắm ạ
Tiki giao nhanh, đóng hàng cẩn thânn",5
Ăn canh đu đủ đi mom. Vừa có sữa. Vừa nhuận tràng ( dễ đi ị). Em sinh mổ. Ở bv 5 ngày đau vết mổ ko dám đi ị. Sợ rặn thì bục vết mổ. Xuất viện về nhà ăn canh đu đủ cho có sữa. Ai ngờ tác dụng phụ đi ị trơn tru luôn. Nhẹ cả người,5
Giao hàng siêu nhanh. Tối đặt trưa ngày hôm sau nhận được. Sẽ ủng hộ shop thêm nhiều lần nữa hen,5
"khăn mềm mịn, không mùi, xài cho bé an toàn lắm ạ",5
"Lúc nào cũng đem theo trong giỏ. Có con nhỏ rút ra lau cho bé, an toàn, giá ổn, bé cơ địa dị ứng nhưng xài k thấy bị nổi mẩn.",5
Gói hàng đẹp. Nhưng giao hàng chậm.chak do dịch bệnh . Nhưng theo dõi trưen hệ thống vẫn thấy điwn mình đang chờ xữ lý 🤣🤣🤣.hình ảnh mang tính chất lấy xu.,5
"Giao hàng nhanh, đóng gói cẩn thận",5
hài lòng,5
"giao hàng nhanh, sp tốt",5
rất hài lòng,5
Sản phẩm đúng như yêu cầu của đơn hàng.,5
"Đóng gói rất cẩn thận,nhưng giao hàng lâu quá,quà tặng dễ thương.Cảm ơn shop.",5
"Nhận đủ hàng. Trước giờ sài khăn ướt Huggies, giờ dùng thử Bobby. Khăn mỏng như giấy ướt thông thường nhưng mềm hơn. Nói chung ổn.",5
